Firm ID number,Stock price,Permanent Earnings per share,Transitory Earnings per share,Earnings per share
1,$32.04 ,3.196531792,0.901537047,4.098068839
2,$19.99 ,1.858203694,0.461789726,2.31999342
3,$18.93 ,1.479520196,0.324834428,1.804354623
4,$16.99 ,1.401072386,0.363023304,1.76409569
5,$23.30 ,2.058145612,0.607008279,2.665153891
6,$20.10 ,1.790338164,0.778743961,2.569082126
7,$15.77 ,1.218859456,0.483420374,1.70227983
8,$35.74 ,3.550036753,0.633571354,4.183608107
9,$16.22 ,1.396175227,0.543075245,1.939250472
10,$18.30 ,1.690487885,0.742018664,2.432506549
11,$15.94 ,1.311074053,0.190859435,1.501933488
12,$21.52 ,1.903441575,0.443182243,2.346623818
13,$17.18 ,1.477579569,0.269126498,1.746706067
14,$19.48 , ,0.354390581,2.108348571
15,$38.31 ,3.631041131,0.486246787,4.117287918
16,$45.19 ,4.113573701,0.298462354,4.412036055
17,$18.97 ,1.694845223,0.338522357,2.033367579
18,$22.46 ,1.974841609,0.617504052,2.592345661
19,$32.88 ,3.313537549,1.222579051,4.536116601
20,$32.13 ,3.24790425,0.767650337,4.015554586
21, ,2.466462161, ,2.802251668
22,$25.49 ,2.564011226,0.770617444,3.33462867
23,$14.43 ,1.056274911,0.191468275,1.247743186
24,$26.48 ,2.591121286,0.837328306,3.428449592
25,$27.82 ,2.364398945,0.293696717,2.658095662
26,$21.31 ,1.808340354,0.506860031,2.315200385
27,$16.90 ,1.198007148,0.176519008,1.374526156
28,$15.25 ,1.281706756,0.514587409, 
29,$23.84 ,2.011829674,0.200265288,2.212094962
30,$27.34 ,2.472525694,0.394715546,2.86724124
31,$38.00 ,3.876876877,1.046046046,4.922922923
32,$24.35 ,2.315073154,0.483800234,2.798873389
33,$19.04 ,1.484584694,0.312054165,1.796638859
34,$38.14 ,4.098213319,1.284082296,5.382295615
35,$16.79 ,1.445611573,0.285820418,1.731431991
36,$39.52 ,4.104760716,1.20696325,5.311723966
37,$45.09 ,4.322103837,0.498799039,4.820902876
38,$17.09 ,1.566189792,0.480695946,2.046885737
39,$15.66 ,1.360969508,0.349216464,1.710185972
40,$32.17 ,3.053242882,0.569739953,3.622982835
41,$13.43 ,0.950849743,0.183981966,1.134831709
42,$20.61 ,1.712304315,0.454567383,2.166871698
43,$12.40 ,0.863885455,0.223238566,1.087124021
44,$17.58 ,1.57753794,0.643656991,2.221194931
45,$28.40 ,2.638951696,0.726207605,3.365159301
46,$26.24 ,2.315002185,0.505731285,2.82073347
47,$22.70 ,1.966478814,0.538927155,2.50540597
48,$13.52 ,1.202966941,0.510246115,1.713213057
49,$14.54 ,1.048177996,0.376839523,1.425017519
50,$15.48 ,1.442278861,0.592008344,2.034287204
51,$20.91 ,2.044207976,0.670069499,2.714277475
52,$19.53 ,1.851244946,0.820174505,2.671419451
53,$25.37 ,2.24198791,0.541875513,2.783863422
54,$12.86 ,1.064529635,0.633599372,1.698129007
55,$14.63 ,1.168837947,0.173976755,1.342814702
56,$19.42 ,1.73609731,0.832105534,2.568202844
57,$16.77 ,1.379684611,0.365633496,1.745318108
58,$18.91 ,1.543829296,0.47189892,2.015728216
59,$30.11 ,2.791142974,0.67439539,3.465538364
60,$30.26 ,3.128870851,0.932117641,4.060988492
61,$17.55 ,1.521911076,0.509494315,2.031405391
62,$32.78 ,3.063447527,0.471104675,3.534552202
63,$14.13 ,1.239471444,0.438652669,1.678124113
64,$45.52 ,4.648668685,1.266324829,5.914993513
65,$22.15 ,2.066829518,0.66503815,2.731867668
66,$21.97 ,1.734359926,0.220371058,1.954730983
67,$35.52 ,3.521216581,0.828795683,4.350012264
68,$17.83 ,1.431663189,0.250069918,1.681733107
69,$25.50 ,2.438362954,0.71932309,3.157686044
70,$22.55 ,2.201126661,0.637531907,2.838658569
71,$29.49 ,2.912892342,0.633779777,3.546672119
72,$33.34 ,2.97249948,0.384487419,3.3569869
73,$26.50 ,2.399091749,0.628925493,3.028017241
74,$16.12 ,1.319777732,0.381848117,1.701625849
75,$21.56 ,1.63704203,0.124404217,1.761446247
76,$33.76 ,3.149658128,0.446014899,3.595673028
77,$19.76 ,1.79693608,0.382118331,2.179054411
78,$33.27 ,3.083121356,0.239893555,3.32301491
79,$18.07 ,1.69572036,0.546037499,2.241757859
80,$24.67 ,2.516422657,1.141086802,3.657509459
